Collection,Wayfinder,Sub-Wayfinder,Call Number Format,Translation
Adults español Fiction,ACCIÓN Y SUSPENSO,,ACCIÓN Y SUSPENSO /,ACTION & THRILLER
Adults español Fiction,CIENCIA FICCIÓN,,CIENCIA FICCIÓN /,SCIENCE FICTION
Adults español Fiction,DEL OESTE,,DEL OESTE /,WESTERN
Adults español Fiction,FANTASÍA,,FANTASÍA /,FANTASY
Adults español Fiction,FICCIÓN,,FICCIÓN /,FICTION
Adults español Fiction,HISTÓRICA,,HISTÓRICA /,HISTORICAL
Adults español Fiction,MISTERIO,,MISTERIO /,MYSTERY
Adults español Fiction,NOVELA GRÁFICA,,NOVELA GRÁFICA /,GRAPHIC NOVEL
Adults español Fiction,ROMANCE,,ROMANCE /,ROMANCE
Adults español Fiction,TERROR,,TERROR /,HORROR
Adults español NF,ARTE Y ARTESANÍA,,ARTE Y ARTESANÍA /,ARTS & CRAFTS
Adults español NF,AUTOAYUDA,,AUTOAYUDA /,SELF-HELP
Adults español NF,CASA Y JARDÍN,,CASA Y JARDÍN /,HOME & GARDEN
Adults español NF,CIENCIAS Y TECNOLOGÍA,,CIENCIAS Y TECNOLOGÍA /,SCIENCE & TECHNOLOGY
Adults español NF,COCINA,,COCINA /,COOKING
Adults español NF,CRIMEN REAL Y PARANORMAL,,CRIMEN REAL Y PARANORMAL /,TRUE CRIME & PHENOMENA
Adults español NF,DEPORTES Y RECREACIÓN,,DEPORTES Y RECREACIÓN /,SPORTS & RECREATION
Adults español NF,DERECHO,,DERECHO /,LAW
Adults español NF,EDUCACIÓN,,EDUCACIÓN /,EDUCATION
Adults español NF,ENTRENTENIMIENTO,,ENTRENTENIMIENTO /,ENTERTAINMENT
Adults español NF,ESPIRITUALIDAD Y CREENCIAS,,ESPIRITUALIDAD Y CREENCIAS /,SPIRITUALITY & BELIEFS
Adults español NF,HISTORIA,,HISTORIA /,HISTORY
Adults español NF,IDIOMAS Y ESCRITURA,,IDIOMAS Y ESCRITURA /,LANGUAGES & WRITING
Adults español NF,LITERATURA,,LITERATURA /,LITERATURE
Adults español NF,NATURALEZA Y ANIMALES,,NATURALEZA Y ANIMALES /,NATURE & ANIMALS
