CATALOG DATE,OCLC #,TITLE,STANDARD#,DDC,CALL NUMBER,CALL NUMBER |a - WAYFINDER CATEGORY,CALL NUMBER |b - SPINE LABEL,SUBJECT,SERIES,AUDIENCE,Unnamed: 11,true_wayfinder,fiction
2025-10-28,on1409631736,Brokeback mountain / Annie Proulx.,"9780743275309;""0743275306""",813/.54 22,WESTERN / PROULX ANNIE,WESTERN /,PROULX ANNIE,"Cowboys -- Fiction.;""Ranch life -- Fiction."";""Male friendship -- Fiction."";""Men's friendships. homoit"";""Friendships. homoit"";""Homosociality. homoit"";""Western."";""Wyoming -- Fiction."";""Western stories. gsafd"";""Western fiction. lcgft""",, ,,WESTERN,True
2025-10-28,ocm60359529 ,Son of a witch / Gregory Maguire.,"9780063398368;""0063398362"";""0060548932 (cloth)"";""9780060548933"";""9780060747220 (pbk.)"";""0060747226 (pbk.)"";""0060548392 (cloth)"";""9780739467053"";""0739467050"";""9780061714733"";""0061714739"";""9780060548933""",813/.54 22,FANTASY / MAGUIRE GREGORY,FANTASY /,MAGUIRE GREGORY,"Witches -- Fiction.;""Oz (Imaginary place) -- Fiction."";""American fiction -- 21st century."";""Witches -- Juvenile fiction."";""Witches -- Fiction. sears"";""Oz (Imaginary place) -- Fiction. sears"";""Fantasy fiction. sears"";""Fantasy."";""Fantasy fiction. lcgft"";""Fantasy fiction. gsafd""","Wicked years   v. 2;""Maguire, Gregory. Wicked years   v. 2.""", ,,FANTASY,True
2025-10-28,ocm41612302 ,In her defense / Stephen Horn.,"0060194405;""9780060194406""",813/.54 21,ACTION & THRILLER / HORN STEPHEN,ACTION & THRILLER /,HORN STEPHEN,"Legal stories.;""Action & thriller."";""Washington (D.C.) -- Fiction."";""Trials (Murder) -- Washington (D.C.) -- Fiction."";""Washington (D.C.) -- Juvenile fiction."";""Legal stories."";""Legal stories. gsafd"";""Political fiction. lcgft"";""Thrillers (Fiction) lcgft"";""Legal stories. lcgft"";""Legal fiction (Literature) lcgft""",, ,,ACTION & THRILLER,True
2025-10-28,ocm59113785 ,Batteries required : a Samantha Shaw mystery / Jennifer Apodaca.,"0758204515;""9780758204516"";""9780758204516""",813/.6 22,MYSTERY / APODACA JENNIFER,MYSTERY /,APODACA JENNIFER,"Shaw, Samantha (Fictitious character) -- Fiction.;""Shaw, Samantha (Fictitious character) -- Fiction."";""Women detectives -- Fiction."";""Detective and mystery stories."";""Mystery fiction. gsafd"";""Detective and mystery stories. lcgft"";""Mystery."";""Detective and mystery fiction. lcgft""",, ,,MYSTERY,True
2025-10-28,ocm34690765 ,A world lost / Wendell Berry.,"1887178228 (alk. paper);""9781887178228 (alk. paper)"";""1887178546"";""9781887178549""",813/.54 20,FICTION / BERRY WENDELL,FICTION /,BERRY WENDELL,"Port William (Ky. : Imaginary place) -- Fiction.;""Country life -- Fiction."";""Death -- Fiction."";""Country life -- Kentucky -- Fiction."";""Kentucky -- Fiction."";""Death -- Juvenile fiction."";""Country life -- Juvenile fiction."";""Kentucky -- Juvenile fiction."";""Pastoral fiction. gsafd"";""Country life Fiction"";""Death Fiction"";""Kentucky Fiction"";""Port William (Ky. : Imaginary place) Fiction"";""Pastoral fiction. gsafd"";""Fiction."";""Pastoral fiction. lcgft""",, ,,FICTION,True
2025-10-28,ocm56659307 ,Hitler's peace : a novel of the Second World War / Philip Kerr.,"0399152695 (acid-free paper);""9780399152696 (acid-free paper)""",823/.914 22,"KERR PHILIP;""HISTORICAL / KERR PHILIP""","KERR PHILIP;""HISTORICAL /""",KERR PHILIP,"Teheran Conference (1943 : Tehran, Iran) -- Fiction.;""World War, 1939-1945 -- Peace -- Fiction."";""World War, 1939-1945 -- Fiction."";""(lcsh)Teheran Conference (1943 :--Tehran, Iran)--Fiction"";""(fast)Teheran Conference"";""(fast)World War (1939-1945)"";""(fast)World War (1939-1945)--Peace"";""(fast)1939-1945"";""(lcsh)World War, 1939-1945--Peace--Fiction"";""(fast)Alternative histories (Fiction)"";""(fast)Fiction"";""(gsafd)Alternative histories (Fiction)"";""(lcgft)Alternative histories (Fiction)"";""Alternative histories (Fiction.)"";""Thrillers (Fiction) lcgft"";""Alternative histories (Fiction) gsafd"";""Historical."";""Alternative histories (Fiction) lcgft""",, ,,HISTORICAL,True
2025-10-28,ocm58043332 ,The tale of Holly How / Susan Wittig Albert.,"0425202747;""9780425202746"";""0425206130"";""9780425206133""",813/.54 22,MYSTERY / ALBERT SUSAN,MYSTERY /,ALBERT SUSAN,"Potter, Beatrix, 1866-1943 -- Fiction.;""Shepherds -- Crimes against -- Fiction."";""Human-animal relationships -- Fiction."";""Women authors -- Fiction."";""Women artists -- Fiction."";""Villages -- Fiction."";""Animals -- Fiction."";""Women authors -- England -- Fiction."";""Mystery."";""England -- Fiction."";""Animals -- Juvenile fiction."";""Shepherds -- Fiction. sears"";""Animal behavior -- Fiction. sears"";""Women authors -- Fiction. sears"";""Women artists -- Fiction. sears"";""Villages -- Fiction. sears"";""Animals -- Fiction. sears"";""Detective and mystery stories."";""Historical fiction. gsafd"";""Mystery fiction. gsafd"";""Historical fiction. lcgft"";""Detective and mystery fiction. lcgft"";""Detective and mystery stories. lcgft""","Cottage tales of Beatrix Potter  , The   2;""Albert, Susan Wittig. Cottage tales of Beatrix Potter   2.""", ,,MYSTERY,True
2025-10-28,ocm57352830 ,Magic street / Orson Scott Card.,"0345416899;""9780345416896"";""0345416902"";""9780345416902"";""9780345416896""",813/.54 22,FANTASY / CARD ORSON,FANTASY /,CARD ORSON,"Child abandonment -- California -- Los Angeles -- Fiction.;""African Americans -- Fiction."";""Orphans -- Fiction."";""Magic -- Fiction."";""Magic -- Juvenile fiction."";""African Americans -- Juvenile fiction."";""Orphans -- Juvenile fiction."";""Fantasy."";""Los Angeles (Calif.) -- Fiction."";""Science fiction. lcgft"";""Fantasy fiction. gsafd"";""Fantasy fiction. lcgft"";""Paranormal fiction. lcgft"";""Novels. lcgft"";""BIPOC -- Fiction."";""Black people -- Fiction."";""Minority groups -- Fiction. eric"";""BIPOC -- Juvenile fiction."";""Black people -- Juvenile fiction."";""Minority groups -- Juvenile fiction. eric""",, ,,FANTASY,True
2025-10-28,ocm58431906 ,Dancing in the dark / Mary Jane Clark.,"0312323158;""9780312323158"";""0739455966"";""9780739455968"";""9780312323158""",813/.54 22,"CLARK MARYJANE KEY #8;""ACTION & THRILLER / CLARK MARY.JANE""","CLARK MARYJANE KEY #8;""ACTION & THRILLER /""",CLARK MARY.JANE,"Women journalists -- Fiction.;""Young women -- Crimes against -- Fiction."";""Seaside resorts -- Fiction."";""Serial murders -- Fiction."";""Mystery."";""Ocean Grove (N.J.) -- Fiction."";""Women journalists -- Fiction. sears"";""Young women -- Fiction. sears"";""Seashore resorts -- Fiction. sears"";""Homicide -- Fiction. sears"";""Detective and mystery stories."";""Mystery fiction. gsafd"";""Detective and mystery fiction. lcgft"";""Thrillers (Fiction) lcgft"";""Action & thriller.""","KEY News series  8;""Clark, Mary Jane Behrends. KEY News series   8.""", ,,ACTION & THRILLER,True
2025-10-28,ocm59401225 ,Looking for Peyton Place / Barbara Delinsky.,"9780743246446;""0743246446"";""0743281497"";""9780743281492"";""0743469860 (pbk.)"";""9780743469869 (pbk.)"";""9781416511410"";""1416511415"";""0739456644"";""9780739456644"";""2005047765"";""9780743246446""",813/.54 22,FICTION / DELINSKY BARBARA,FICTION /,DELINSKY BARBARA,"Women novelists -- Fiction.;""City and town life -- Fiction."";""Secrecy -- Fiction."";""Secrecy. homoit"";""Romance."";""New Hampshire -- Fiction."";""City and town life -- Juvenile fiction."";""New Hampshire -- Juvenile fiction."";""Women novelists -- Fiction. sears"";""City and town life -- Fiction. sears"";""New Hampshire -- Fiction. sears"";""Secrecy -- Fiction. sears"";""Psychological fiction. sears"";""Love stories. sears"";""Psychological fiction. lcgft"";""Romance fiction. lcgft"";""Psychological fiction. gsafd"";""Thrillers (Fiction) lcgft"";""Fiction.""",,j,,FICTION,True
